City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
172,Road Town,VG,81.19,scattered clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
176,Kapit,MY,72.48,overcast clouds,2.02,112.93,Hotel Meligai Kapit
179,Ribeira Grande,PT,72.9,few clouds,38.52,-28.7,Quinta da Meia Eira
180,Lagoa,PT,71.96,clear sky,39.05,-27.98,Casa Das Faias
183,Butaritari,KI,83.84,few clouds,3.07,172.79,Isles Sunset Lodge
184,Jieshi,CN,81.28,overcast clouds,22.81,115.83,Yuehai Hotel
188,Maria Chiquita,PA,84.16,broken clouds,9.44,-79.76,La Casa del Rio
190,Pokhara,NP,72.9,overcast clouds,28.23,83.98,Butterfly Lodge
195,Hibbing,US,82.85,few clouds,47.43,-92.94,Americas Best Value Inn Hibbing
196,Samarai,PG,78.21,scattered clouds,-10.62,150.67,Nuli Sapi
198,Maceio,BR,76.44,broken clouds,-9.67,-35.74,Poutur Pousada
199,Tarakan,ID,78.3,few clouds,3.3,117.63,RedDoorz Syariah near Taman Berlabuh Tarakan
200,Guerrero Negro,MX,85.01,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
204,Zhoucheng,CN,74.41,scattered clouds,35.91,116.31,Yingbin Restaurant
206,Grand Forks,US,83.93,few clouds,47.94,-97.43,Warrior Inn
208,Avarua,CK,78.85,clear sky,-21.21,-159.78,Paradise Inn
210,Shingu,JP,79.92,light rain,33.73,135.98,Shingu UI Hotel
211,Sola,VU,77.67,broken clouds,-13.88,167.55,Ulkel Guest House
213,Sakaiminato,JP,71.58,broken clouds,35.55,133.23,味処・民宿 まつや
216,Chapleau,CA,77.09,broken clouds,47.84,-83.4,Nemegosenda Lake Lodge
219,Mozarlandia,BR,82.96,broken clouds,-14.74,-50.57,Hotel Santa Mônica
220,Goderich,CA,81.91,scattered clouds,43.75,-81.72,Harmony Inn
221,Belmonte,BR,73.9,few clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
222,Gazanjyk,TM,87.4,clear sky,39.24,55.52,Railway motel
223,Sangmelima,CM,70.16,overcast clouds,2.93,11.98,gamestar hotel
227,Bonavista,CA,71.6,scattered clouds,48.65,-53.11,Abbott's Bed & Breakfast
228,Jamui,IN,82.62,overcast clouds,24.92,86.22,hotel sneha
229,Mahina,PF,80.37,light rain,-17.51,-149.49,Guest Beach Bungalow Tahiti
230,Kirakira,SB,80.73,scattered clouds,-10.45,161.92,SanBiz Lodge
233,Tukrah,LY,80.02,clear sky,32.53,20.58,Lagrota restaurant
234,Gazojak,TM,79.34,clear sky,41.19,61.4,In gowy adamlaryñ yaśayan oyi
236,Niquelandia,BR,77.68,scattered clouds,-14.47,-48.46,Hotel Suinã
239,Gat,IL,81.39,clear sky,31.61,34.76,OlusHome
242,Neiafu,TO,75.88,light rain,-18.65,-173.98,Mystic Sands Beachfront Accommodation
245,Lorengau,PG,81.07,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
249,San Quintin,MX,76.64,clear sky,30.48,-115.95,Don Eddie's Sport Fishing Center
257,Yarmouth,US,78.12,scattered clouds,41.71,-70.23,The Inn At Cape Cod
260,Oussouye,SN,82.58,overcast clouds,12.48,-16.55,Auberge du Routard
262,Soubre,CI,72.72,light rain,5.79,-6.61,Hote Ivoire Soubré
263,Russell,US,85.28,overcast clouds,32.35,-85.2,Macs
264,San Andres,CO,87.82,scattered clouds,12.58,-81.7,Hotel Arena Blanca
267,Qingdao,CN,73.0,mist,36.1,120.37,东晖国际大酒店餐厅
268,Arraial Do Cabo,BR,71.56,clear sky,-22.97,-42.03,Pousada Porto Praia
269,Nigran,ES,75.4,clear sky,42.14,-8.81,Parador de Baiona
270,Puerto Baquerizo Moreno,EC,74.39,broken clouds,-0.9,-89.6,Hotel los Algarrobos
272,Atuona,PF,77.88,few clouds,-9.8,-139.03,Villa Enata
274,Shimoda,JP,80.01,broken clouds,34.67,138.95,Shimoda Tokyu Hotel
275,Guatire,VE,77.2,overcast clouds,10.48,-66.54,Parque Residencial Canaima I
276,Dingle,PH,73.89,overcast clouds,11.0,122.67,SEGAYA PROPERTY
277,Touros,BR,77.9,clear sky,-5.2,-35.46,INN NEW HORIZON
280,Bathsheba,BB,83.01,few clouds,13.22,-59.52,Atlantis Hotel
281,Fukue,JP,75.18,heavy intensity rain,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
282,Toyooka,JP,71.71,overcast clouds,35.53,134.83,O Hotel Toyooka
283,Cairns,AU,71.55,scattered clouds,-16.92,145.77,Mantra Trilogy Cairns
288,Faya,SA,70.32,broken clouds,18.39,42.45,أبو تركي للوحدات السكنيه
293,Shache,CN,77.49,few clouds,38.42,77.24,Delong Hotel
295,Okitipupa,NG,73.15,overcast clouds,6.5,4.78,Coastal Hotel & Suites
296,Zimovniki,RU,77.09,moderate rain,47.15,42.46,Guest House
299,Manaure,CO,88.83,overcast clouds,11.78,-72.44,Del mar vendra
300,Labuhan,ID,74.12,broken clouds,-6.88,112.21,Rumah Naqsa
305,Trinidad,BO,84.18,few clouds,-14.83,-64.9,Hotel Piesta
306,Bonthe,SL,78.13,overcast clouds,7.53,-12.51,Bonthe Holiday Village
308,Marsh Harbour,BS,84.18,clear sky,26.54,-77.06,Abaco Beach Resort
310,Carutapera,BR,77.38,light rain,-1.2,-46.02,Lidera
311,Namatanai,PG,81.64,few clouds,-3.67,152.43,Seagulls Inn Namatani
313,Takoradi,GH,75.81,clear sky,4.88,-1.76,Raybow International Hotel
316,Biak,ID,75.04,broken clouds,-0.91,122.88,Penginapan Kim
323,Hami,CN,81.93,broken clouds,42.8,93.45,Laoyutang Resort
333,Ilebo,CD,77.2,scattered clouds,-4.32,20.58,Hôtel BUMAK
334,Mangrol,IN,81.54,overcast clouds,21.12,70.12,Hotel The Royal Honours
336,Wajima,JP,76.78,few clouds,37.4,136.9,Wajiima Onsen Yashio
337,Kalmunai,LK,80.08,overcast clouds,7.42,81.82,VS Villa
346,Rabo De Peixe,PT,71.11,few clouds,37.8,-25.58,Quinta das Giestas
350,Cockburn Town,TC,87.76,scattered clouds,21.46,-71.14,Osprey Beach Hotel
352,Sinnamary,GF,78.69,light rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
356,Dhidhdhoo,MV,81.84,light rain,6.88,73.1,Dhidhoo beach
358,Kerman,IR,73.26,clear sky,30.28,57.08,Kerman Hotel
360,Bengkulu,ID,74.57,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
361,Rabat,MA,72.81,broken clouds,33.99,-6.84,Hôtel Mercure Rabat Sheherazade
362,Guanare,VE,77.02,overcast clouds,9.04,-69.74,Nuevo Hotel Coromoto
363,Mitsamiouli,KM,76.15,clear sky,-11.38,43.28,Foyer ADM
364,Mikhaylovka,RU,84.7,overcast clouds,50.06,43.24,5 Komnat
365,Sao Jose Da Coroa Grande,BR,74.37,few clouds,-8.9,-35.15,Crôa Mares Hotel
366,Ambilobe,MG,70.27,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
367,Tulum,MX,87.98,broken clouds,20.22,-87.47,Kin Ha Tulum
368,Leua,SK,73.49,clear sky,48.22,18.61,Business Hotel ASTRUM Laus
370,Pimentel,PE,70.09,clear sky,-6.84,-79.93,Casona Del Muelle
374,Khuzdar,PK,74.91,clear sky,27.74,66.64,jhalwan Rent A Car Moola Chotok Boking Office
375,Palauig,PH,79.59,light rain,15.44,119.9,Alperi Botique Resort
377,Napasar,IN,87.64,clear sky,27.97,73.55,Laxmi Palace
378,Wewak,PG,77.86,broken clouds,-3.55,143.63,In Wewak Boutique Hotel
379,Kupang,ID,75.78,few clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
385,Tautira,PF,80.62,light rain,-17.73,-149.15,Pension Oaoa
388,Saint-Georges,GD,85.68,few clouds,12.06,-61.75,Radisson Grenada Beach Resort
389,Sao Felix Do Xingu,BR,82.9,clear sky,-6.64,-51.99,Apart Hotel Rio Xingu
390,Dzhubga,RU,73.56,light rain,44.32,38.7,Paradise
391,Riviere-Au-Renard,CA,75.49,overcast clouds,49.0,-64.4,Auberge Le Caribou
393,Jiaozuo,CN,74.93,broken clouds,35.24,113.23,Days Hotel and Suites Jiaozuo
396,Tindivanam,IN,82.31,overcast clouds,12.25,79.65,Tindivanam Impala Briyani & Wedinng Contract
397,Sao Filipe,CV,77.36,scattered clouds,14.9,-24.5,Hotel Xaguate
398,Fano,IT,79.79,overcast clouds,43.82,13.01,Hotel Paradise Fano
404,Ibra,OM,83.86,clear sky,22.69,58.53,مزرعة راحة النفوس المنزفة
405,Champasak,LA,74.32,overcast clouds,14.75,106.0,Kiat Ngong Wetland BUNGALOW
406,Ust-Nera,RU,71.46,broken clouds,64.57,143.2,Hotel Ust-Nera
407,Harper,LR,77.02,broken clouds,4.38,-7.72,Screensaver
408,Veraval,IN,81.61,overcast clouds,20.9,70.37,Lords Inn Somnath
413,Kyaikkami,MM,80.82,moderate rain,16.08,97.57,Happy Family Kyaikkami
415,Kavieng,PG,84.42,few clouds,-2.57,150.8,Nusa Island Retreat
417,Trairi,BR,79.43,clear sky,-3.28,-39.27,janelas do mar
421,Sai Buri,TH,76.93,overcast clouds,6.7,101.62,ร้าน​ เวดดิ้ง
428,Nhulunbuy,AU,74.01,overcast clouds,-12.23,136.77,East Arnhem Real Estate
432,Pilar,BR,75.13,broken clouds,-9.6,-35.96,Pousada e churrascaria Manguaba
434,Namie,JP,78.71,clear sky,37.48,141.0,いこいの村なみえ
436,Alotenango,GT,78.37,broken clouds,14.48,-90.81,Banquetes Alvarez
439,Boueni,YT,75.18,clear sky,-12.9,45.08,Santal Logis
